pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
Kepler-1306,b,Kepler-1306 b,Transit,0,1,16.29595382,7.404e-05,-7.404e-05,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.17,0.04,-0.016,0,2,,,,,0,0,1,0,19h37m54.80s,+46d56m45.1s,294.478341,1.7e-05,46.945862,1.7e-05,2,1130.0,260.75,-108.74,0,3,15.243,,0,Kepler-band,15.212,,0,5727.0,140.59,-132.91,0,5,0.98,0.07,-0.06,0,2,0.97,0.22,-0.09,0,5,1,2016-05-10,Kepler
Kepler-1307,b,Kepler-1307 b,Transit,0,1,18.01621096,9.522e-05,-9.522e-05,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.22,0.059,-0.024,0,2,,,,,0,0,1,0,19h31m28.76s,+46d44m30.7s,292.86984,1.9e-05,46.741859,1.7e-05,2,1396.0,366.01,-147.88,0,3,15.394,,0,Kepler-band,15.38,,0,5884.0,77.63,-103.16,0,5,1.06,0.07,-0.06,0,2,1.08,0.29,-0.11,0,5,1,2016-05-10,Kepler
Kepler-1308,b,Kepler-1308 b,Transit,0,1,2.10433812,4.24e-06,-4.24e-06,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.046,0.005,-0.004,0,2,,,,,0,0,1,0,19h03m42.94s,+38d31m15.5s,285.928896,1.7e-05,38.520962,1.7e-05,2,73.0,7.38,-7.51,0,3,14.488,,0,Kepler-band,14.474,,0,3468.0,33.65,-30.71,0,5,0.35,0.04,-0.04,0,2,0.34,0.03,-0.03,0,4,1,2016-05-10,Kepler
Kepler-1324,b,Kepler-1324 b,Transit,0,1,4.11584468,8.55e-06,-8.55e-06,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.135,0.007,-0.008,0,2,,,,,0,0,1,0,19h24m44.39s,+40d18m40.4s,291.18497,1.7e-05,40.311214,1.7e-05,2,522.0,21.01,-24.16,0,3,15.141,,0,Kepler-band,15.134,,0,4776.0,54.15,-70.56,0,4,0.78,0.03,-0.04,0,1,0.73,0.02,-0.03,0,4,1,2016-05-10,Kepler
Kepler-1325,b,Kepler-1325 b,Transit,0,1,33.8786838,0.0002334,-0.0002334,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.255,0.036,-0.042,0,2,,,,,0,0,1,0,19h00m04.13s,+42d05m07.4s,285.017227,2.2e-05,42.085384,1.7e-05,2,955.0,136.72,-71.35,0,3,15.16,,0,Kepler-band,15.129,,0,5550.0,82.37,-93.24,0,4,0.93,0.04,-0.05,0,1,0.91,0.13,-0.06,0,4,1,2016-05-10,Kepler
Kepler-1326,b,Kepler-1326 b,Transit,0,1,42.3514267,0.0001372,-0.0001372,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.373,0.135,-0.068,0,2,,,,,0,0,1,0,19h44m53.31s,+39d16m08.2s,296.222144,1.7e-05,39.268958,1.7e-05,2,910.0,320.92,-167.63,0,3,12.852,,0,Kepler-band,12.741,,0,6725.0,280.9,-196.41,0,4,1.45,0.21,-0.16,0,1,1.74,0.63,-0.32,0,4,1,2016-05-10,Kepler
Kepler-1327,b,Kepler-1327 b,Transit,0,1,14.88801098,8.768e-05,-8.768e-05,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.161,0.052,-0.018,0,1,,,,,0,0,1,0,19h16m15.57s,+50d27m39.5s,289.064869,3.1e-05,50.460976,3.1e-05,2,688.0,164.1,-76.08,0,2,13.914,,0,Kepler-band,13.884,,0,5885.0,115.84,-121.67,0,3,1.02,0.07,-0.07,0,1,1.03,0.25,-0.11,0,3,1,2016-05-10,Kepler
Kepler-1328,b,Kepler-1328 b,Transit,0,1,4.52158888,2.184e-05,-2.184e-05,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.087,0.018,-0.008,0,2,,,,,0,0,1,0,18h58m42.09s,+44d25m04.0s,284.675388,1.7e-05,44.41777,1.7e-05,2,630.0,129.61,-60.03,0,3,13.836,,0,Kepler-band,13.803,,0,5780.0,91.61,-90.02,0,4,1.0,0.06,-0.06,0,1,0.99,0.2,-0.09,0,4,1,2016-05-10,Kepler
Kepler-403,d,Kepler-403 d,Transit,0,3,13.61159129,8.288e-05,-8.288e-05,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.127,0.027,-0.017,0,2,,,,,0,0,1,0,19h19m41.15s,+46d44m40.4s,289.921461,1.9e-05,46.74456,1.7e-05,2,860.93,16.72,-16.72,0,3,12.805,,0,Kepler-band,12.76,,0,6090.0,100.0,-100.0,0,5,,,,,1,1.33,0.24,-0.24,0,5,1,2016-05-10,Kepler
Kepler-1329,b,Kepler-1329 b,Transit,0,1,9.33646594,3.106e-05,-3.106e-05,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.194,0.005,-0.014,0,2,,,,,0,0,1,0,18h46m35.46s,+48d16m15.8s,281.647742,2.2e-05,48.271046,1.7e-05,2,624.0,20.04,-24.24,0,3,15.911,,0,Kepler-band,15.85,,0,4500.0,38.73,-38.83,0,5,0.72,0.02,-0.02,0,1,0.69,0.02,-0.02,0,4,1,2016-05-10,Kepler
Kepler-1330,b,Kepler-1330 b,Transit,0,1,10.10769068,4.951e-05,-4.951e-05,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.147,0.036,-0.012,0,2,,,,,0,0,1,0,19h22m18.42s,+39d57m24.8s,290.576737,1.9e-05,39.956893,1.7e-05,2,939.0,222.22,-75.42,0,3,15.017,,0,Kepler-band,14.945,,0,5608.0,83.0,-112.79,0,4,0.97,0.05,-0.05,0,1,0.94,0.23,-0.07,0,4,1,2016-05-10,Kepler
Kepler-1331,b,Kepler-1331 b,Transit,0,1,0.78916165,1.21e-06,-1.21e-06,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.094,0.008,-0.007,0,2,,,,,0,0,1,0,19h48m17.71s,+41d13m28.1s,297.073789,1.7e-05,41.22448,1.7e-05,2,365.0,31.79,-30.43,0,3,15.031,,0,Kepler-band,15.032,,0,4508.0,243.21,-204.59,0,4,0.72,0.05,-0.05,0,1,0.69,0.05,-0.04,0,4,1,2016-05-10,Kepler
