pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
Kepler-155,b,Kepler-155 b,Transit,0,2,5.931194,8.00E-06,-8.00E-06,0,6,0.056,,,0,3,,,,,0,,,,,1,,,,,0,,0.186,0.019,-0.019,0,4,,,,,1,0,1,0,19h13m59.00s,+51d04m55.0s,288.495833,1.70E-05,51.081947,1.70E-05,2,295.99,2.3,-2.3,0,3,14.258,,0,Kepler-band,14.24,,0,4508,100,-100,0,7,,,,,4,0.62,0.03,-0.03,0,7,1,5/14/2014,Kepler
Kepler-155,c,Kepler-155 c,Transit,0,2,52.661793,0.000236,-0.000236,0,7,0.242,,,0,2,,,,,0,,,,,1,,,,,0,,0.2,0.013,-0.013,0,4,,,,,1,0,1,0,19h13m59.00s,+51d04m55.0s,288.495833,1.70E-05,51.081947,1.70E-05,2,295.99,2.3,-2.3,0,3,14.258,,0,Kepler-band,14.24,,0,4508,100,-100,0,7,,,,,4,0.62,0.03,-0.03,0,7,1,5/14/2014,Kepler
Kepler-156,b,Kepler-156 b,Transit,0,2,4.973456,8.00E-06,-8.00E-06,0,4,0.054,,,0,1,,,,,0,,,,,0,,,,,0,,0.205,0.015,-0.015,0,3,,,,,0,0,1,0,19h21m11.16s,+37d44m58.2s,290.296515,1.90E-05,37.74949,1.70E-05,2,449.22,3.56,-3.56,0,3,14.172,,0,Kepler-band,14.156,,0,5094,100,-100,0,6,,,,,1,0.81,0.05,-0.05,0,6,1,5/14/2014,Kepler
Kepler-156,c,Kepler-156 c,Transit,0,2,15.906801,4.50E-05,-4.50E-05,0,4,0.117,,,0,1,,,,,0,,,,,0,,,,,0,,0.227,0.017,-0.017,0,3,,,,,0,0,1,0,19h21m11.16s,+37d44m58.2s,290.296515,1.90E-05,37.74949,1.70E-05,2,449.22,3.56,-3.56,0,3,14.172,,0,Kepler-band,14.156,,0,5094,100,-100,0,6,,,,,1,0.81,0.05,-0.05,0,6,1,5/14/2014,Kepler
Kepler-157,b,Kepler-157 b,Transit,0,3,1.732342,6.00E-06,-6.00E-06,0,3,0.028,,,0,1,,,,,0,,,,,0,,,,,0,,0.118,0.023,-0.023,0,3,,,,,0,0,1,0,19h24m23.33s,+38d52m32.2s,291.097225,1.90E-05,38.875609,1.70E-05,2,791.27,10.88,-10.88,0,3,14.002,,0,Kepler-band,14.037,,0,5774,125,-125,0,6,,,,,1,1.04,0.2,-0.2,0,6,1,5/14/2014,Kepler
Kepler-157,c,Kepler-157 c,Transit,0,3,13.5405,4.90E-05,-4.90E-05,0,4,0.11,,,0,1,,,,,0,,,,,0,,,,,0,,0.2,0.038,-0.038,0,3,,,,,0,0,1,0,19h24m23.33s,+38d52m32.2s,291.097225,1.90E-05,38.875609,1.70E-05,2,791.27,10.88,-10.88,0,3,14.002,,0,Kepler-band,14.037,,0,5774,125,-125,0,6,,,,,1,1.04,0.2,-0.2,0,6,1,5/14/2014,Kepler
Kepler-158,b,Kepler-158 b,Transit,0,2,16.709184,6.40E-05,-6.40E-05,0,4,0.111,,,0,1,,,,,0,,,,,0,,,,,0,,0.189,0.032,-0.032,0,3,,,,,0,0,1,0,18h56m07.74s,+39d46m52.9s,284.032244,1.90E-05,39.781348,1.70E-05,2,318.06,2.12,-2.12,0,3,14.427,,0,Kepler-band,14.417,,0,4623,200,-200,0,6,,,,,1,0.62,0.08,-0.08,0,6,1,5/14/2014,Kepler
Kepler-158,c,Kepler-158 c,Transit,0,2,28.551383,0.00014,-0.00014,0,4,0.158,,,0,1,,,,,0,,,,,0,,,,,0,,0.17,0.027,-0.027,0,3,,,,,0,0,1,0,18h56m07.74s,+39d46m52.9s,284.032244,1.90E-05,39.781348,1.70E-05,2,318.06,2.12,-2.12,0,3,14.427,,0,Kepler-band,14.417,,0,4623,200,-200,0,6,,,,,1,0.62,0.08,-0.08,0,6,1,5/14/2014,Kepler
Kepler-159,b,Kepler-159 b,Transit,0,2,10.139623,2.20E-05,-2.20E-05,0,5,0.082,,,0,2,,,,,0,,,,,0,,,,,0,,0.212,0.016,-0.016,0,4,,,,,0,1,1,0,19h48m16.84s,+40d52m07.6s,297.07017,1.70E-05,40.868784,1.70E-05,2,377.79,3.17,-3.17,0,3,14.902,,0,Kepler-band,14.888,,0,4625,100,-100,0,7,,,,,2,0.66,0.03,-0.03,0,7,1,5/14/2014,Kepler
Kepler-159,c,Kepler-159 c,Transit,0,2,43.595792,0.000125,-0.000125,0,4,0.218,,,0,2,,,,,0,,,,,0,,,,,0,,0.304,0.025,-0.025,0,4,,,,,0,1,1,0,19h48m16.84s,+40d52m07.6s,297.07017,1.70E-05,40.868784,1.70E-05,2,377.79,3.17,-3.17,0,3,14.902,,0,Kepler-band,14.888,,0,4625,100,-100,0,7,,,,,2,0.66,0.03,-0.03,0,7,1,5/14/2014,Kepler
